participantId,condition,phase,trialIndex,targetWord,typedWord,accuracy,reactionTimeMs,typingTimeMs,totalTimeMs,timestamp
P17,visual,control,1,cat,"cat",1,929,392,1321,2026-04-02T18:24:17.183Z
P17,visual,control,2,dog,"dog",1,741,289,1030,2026-04-02T18:24:20.220Z
P17,visual,control,3,run,"run",1,620,412,1032,2026-04-02T18:24:23.261Z
P17,visual,control,4,hat,"hat",1,606,290,896,2026-04-02T18:24:26.175Z
P17,visual,control,5,sun,"sun",1,609,404,1012,2026-04-02T18:24:29.206Z
P17,visual,experimental,6,cup,"cup",1,573,1274,1847,2026-04-02T18:24:33.068Z
P17,visual,experimental,7,red,"red",1,602,318,920,2026-04-02T18:24:36.003Z
P17,visual,experimental,8,box,"box",1,715,1045,1760,2026-04-02T18:24:39.776Z
P17,visual,experimental,9,pen,"pen",1,625,432,1057,2026-04-02T18:24:42.846Z
P17,visual,experimental,10,top,"top",1,760,403,1164,2026-04-02T18:24:46.020Z
P17,visual,experimental,11,map,"map",1,623,405,1028,2026-04-02T18:24:49.061Z
P17,visual,experimental,12,bed,"bed",1,680,399,1079,2026-04-02T18:24:52.143Z
P17,visual,experimental,13,log,"log",1,678,389,1067,2026-04-02T18:24:55.225Z
P17,visual,experimental,14,fin,"fin",1,667,404,1071,2026-04-02T18:24:58.319Z
P17,visual,experimental,15,jam,"jam",1,648,350,998,2026-04-02T18:25:01.331Z
P17,visual,experimental,16,net,"net",1,597,458,1054,2026-04-02T18:25:04.394Z
P17,visual,experimental,17,pin,"pin",1,618,591,1209,2026-04-02T18:25:07.615Z
P17,visual,experimental,18,rug,"rug",1,642,467,1109,2026-04-02T18:25:10.728Z
P17,visual,experimental,19,van,"van",1,872,723,1595,2026-04-02T18:25:14.331Z
P17,visual,experimental,20,zip,"zip",1,684,1413,2097,2026-04-02T18:25:18.442Z
