participantId,condition,phase,trialIndex,targetWord,typedWord,accuracy,reactionTimeMs,typingTimeMs,totalTimeMs,timestamp
P06,visual,control,1,cat,"cat",1,745,555,1300,2026-03-26T17:21:14.799Z
P06,visual,control,2,dog,"dog",1,658,361,1019,2026-03-26T17:21:17.845Z
P06,visual,control,3,run,"run",1,626,1227,1852,2026-03-26T17:21:21.714Z
P06,visual,control,4,hat,"hat",1,724,351,1075,2026-03-26T17:21:24.801Z
P06,visual,control,5,sun,"sun",1,716,420,1135,2026-03-26T17:21:27.955Z
P06,visual,experimental,6,cup,"cup",1,624,510,1134,2026-03-26T17:21:31.099Z
P06,visual,experimental,7,red,"red",1,680,368,1047,2026-03-26T17:21:34.153Z
P06,visual,experimental,8,box,"box",1,811,501,1312,2026-03-26T17:21:37.476Z
P06,visual,experimental,9,pen,"pen",1,713,409,1122,2026-03-26T17:21:40.613Z
P06,visual,experimental,10,top,"top",1,714,1174,1888,2026-03-26T17:21:44.514Z
P06,visual,experimental,11,map,"map",1,688,334,1022,2026-03-26T17:21:47.548Z
P06,visual,experimental,12,bed,"bed",1,690,382,1072,2026-03-26T17:21:50.635Z
P06,visual,experimental,13,log,"log",1,648,912,1561,2026-03-26T17:21:54.199Z
P06,visual,experimental,14,fin,"fin",1,664,373,1037,2026-03-26T17:21:57.249Z
P06,visual,experimental,15,jam,"jam",1,795,854,1650,2026-03-26T17:22:00.914Z
P06,visual,experimental,16,net,"net",1,688,401,1089,2026-03-26T17:22:04.014Z
P06,visual,experimental,17,pin,"pin",1,674,501,1175,2026-03-26T17:22:07.206Z
P06,visual,experimental,18,rug,"rug",1,653,882,1535,2026-03-26T17:22:10.753Z
P06,visual,experimental,19,van,"van",1,916,435,1351,2026-03-26T17:22:14.114Z
P06,visual,experimental,20,zip,"zip",1,765,381,1146,2026-03-26T17:22:17.268Z
