participantId,condition,phase,trialIndex,targetWord,typedWord,accuracy,reactionTimeMs,typingTimeMs,totalTimeMs,timestamp
p23,visual,control,1,cat,"cat",1,1354,461,1815,2026-04-02T21:02:53.223Z
p23,visual,control,2,dog,"dog",1,1295,499,1795,2026-04-02T21:02:57.027Z
p23,visual,control,3,run,"run",1,3597,386,3984,2026-04-02T21:03:03.017Z
p23,visual,control,4,hat,"hat",1,614,252,866,2026-04-02T21:03:05.898Z
p23,visual,control,5,sun,"sun",1,635,329,965,2026-04-02T21:03:08.871Z
p23,visual,experimental,6,cup,"cup",1,654,260,914,2026-04-02T21:03:11.796Z
p23,visual,experimental,7,red,"red",1,565,273,837,2026-04-02T21:03:14.645Z
p23,visual,experimental,8,box,"box",1,615,227,843,2026-04-02T21:03:17.496Z
p23,visual,experimental,9,pen,"pen",1,621,312,933,2026-04-02T21:03:20.439Z
p23,visual,experimental,10,top,"top",1,613,204,817,2026-04-02T21:03:23.274Z
p23,visual,experimental,11,map,"map",1,634,179,813,2026-04-02T21:03:26.103Z
p23,visual,experimental,12,bed,"bed",1,791,291,1082,2026-04-02T21:03:29.197Z
p23,visual,experimental,13,log,"log",1,637,269,906,2026-04-02T21:03:32.111Z
p23,visual,experimental,14,fin,"fin",1,737,370,1107,2026-04-02T21:03:35.225Z
p23,visual,experimental,15,jam,"jam",1,757,292,1049,2026-04-02T21:03:38.280Z
p23,visual,experimental,16,net,"net",1,637,427,1064,2026-04-02T21:03:41.361Z
p23,visual,experimental,17,pin,"pin",1,610,333,943,2026-04-02T21:03:44.312Z
p23,visual,experimental,18,rug,"rug",1,655,282,937,2026-04-02T21:03:47.259Z
p23,visual,experimental,19,van,"van",1,666,311,976,2026-04-02T21:03:50.248Z
p23,visual,experimental,20,zip,"zip",1,742,332,1075,2026-04-02T21:03:53.330Z
