participantId,condition,phase,trialIndex,targetWord,typedWord,accuracy,reactionTimeMs,typingTimeMs,totalTimeMs,timestamp
p07,auditory,control,1,cat,"cat",1,1994,1039,3033,2026-03-26T17:35:42.051Z
p07,auditory,control,2,dog,"dog",1,1373,501,1874,2026-03-26T17:35:45.934Z
p07,auditory,control,3,run,"run",1,1238,557,1795,2026-03-26T17:35:49.742Z
p07,auditory,control,4,hat,"hat",1,2433,457,2889,2026-03-26T17:35:54.642Z
p07,auditory,control,5,sun,"sun",1,1225,546,1772,2026-03-26T17:35:58.430Z
p07,auditory,experimental,6,cup,"cup",1,1253,3248,4500,2026-03-26T17:36:04.934Z
p07,auditory,experimental,7,red,"red",1,1466,789,2255,2026-03-26T17:36:09.199Z
p07,auditory,experimental,8,box,"box",1,1500,501,2001,2026-03-26T17:36:13.209Z
p07,auditory,experimental,9,pen,"ham",0,1404,438,1842,2026-03-26T17:36:17.058Z
p07,auditory,experimental,10,top,"top",1,2482,553,3035,2026-03-26T17:36:22.102Z
p07,auditory,experimental,11,map,"map",1,1390,406,1797,2026-03-26T17:36:25.914Z
p07,auditory,experimental,12,bed,"bed",1,2295,418,2713,2026-03-26T17:36:30.636Z
p07,auditory,experimental,13,log,"log",1,1411,395,1806,2026-03-26T17:36:34.446Z
p07,auditory,experimental,14,fin,"bin",0,1184,512,1695,2026-03-26T17:36:38.154Z
p07,auditory,experimental,15,jam,"jam",1,1468,380,1847,2026-03-26T17:36:42.013Z
p07,auditory,experimental,16,net,"net",1,2510,620,3129,2026-03-26T17:36:47.154Z
p07,auditory,experimental,17,pin,"pin",1,2671,576,3247,2026-03-26T17:36:52.413Z
p07,auditory,experimental,18,rug,"rug",1,1227,369,1597,2026-03-26T17:36:56.017Z
p07,auditory,experimental,19,van,"van",1,1680,2922,4602,2026-03-26T17:37:02.626Z
p07,auditory,experimental,20,zip,"zip",1,2849,492,3341,2026-03-26T17:37:07.981Z
