participantId,condition,phase,trialIndex,targetWord,typedWord,accuracy,reactionTimeMs,typingTimeMs,totalTimeMs,timestamp
p25,visual,control,1,cat,"cat",1,834,795,1629,2026-04-02T21:16:22.363Z
p25,visual,control,2,dog,"dog",1,746,651,1397,2026-04-02T21:16:25.776Z
p25,visual,control,3,run,"run",1,865,1307,2172,2026-04-02T21:16:29.953Z
p25,visual,control,4,hat,"hat",1,880,665,1544,2026-04-02T21:16:33.510Z
p25,visual,control,5,sun,"sun",1,863,1719,2582,2026-04-02T21:16:38.098Z
p25,visual,experimental,6,cup,"cup",1,918,877,1794,2026-04-02T21:16:41.899Z
p25,visual,experimental,7,red,"red",1,828,432,1260,2026-04-02T21:16:45.175Z
p25,visual,experimental,8,box,"box",1,884,837,1721,2026-04-02T21:16:48.909Z
p25,visual,experimental,9,pen,"pen",1,941,752,1693,2026-04-02T21:16:52.616Z
p25,visual,experimental,10,top,"top",1,746,682,1428,2026-04-02T21:16:56.052Z
p25,visual,experimental,11,map,"map",1,983,899,1881,2026-04-02T21:16:59.937Z
p25,visual,experimental,12,bed,"bed",1,967,519,1486,2026-04-02T21:17:03.448Z
p25,visual,experimental,13,log,"log",1,905,628,1533,2026-04-02T21:17:06.995Z
p25,visual,experimental,14,fin,"fin",1,982,524,1506,2026-04-02T21:17:10.510Z
p25,visual,experimental,15,jam,"jam",1,852,684,1536,2026-04-02T21:17:14.058Z
p25,visual,experimental,16,net,"net",1,800,485,1285,2026-04-02T21:17:17.347Z
p25,visual,experimental,17,pin,"pin",1,886,655,1541,2026-04-02T21:17:20.903Z
p25,visual,experimental,18,rug,"rug",1,976,399,1376,2026-04-02T21:17:24.294Z
p25,visual,experimental,19,van,"van",1,891,828,1719,2026-04-02T21:17:28.024Z
p25,visual,experimental,20,zip,"zip",1,1001,671,1673,2026-04-02T21:17:31.709Z
