participantId,condition,phase,trialIndex,targetWord,typedWord,accuracy,reactionTimeMs,typingTimeMs,totalTimeMs,timestamp,baselineTypingSpeedMs,logReactionTime
p10,visual,experimental,17,pin,pin,1,678,520,1197,2026-03-26T23:29:53.966Z,482.4,6.519147287940395
p10,visual,experimental,18,rug,rug,1,688,458,1145,2026-03-26T23:29:57.123Z,482.4,6.533788837933344
p10,visual,experimental,19,van,van,1,815,1343,2158,2026-03-26T23:30:01.288Z,482.4,6.703188113240863
p10,visual,experimental,20,zip,zip,1,971,453,1424,2026-03-26T23:30:04.724Z,482.4,6.878326468291325
p12,visual,experimental,6,cup,cup,1,860,356,1216,2026-04-01T22:07:44.089Z,672.5,6.756932389247553
p12,visual,experimental,7,red,red,1,713,313,1025,2026-04-01T22:07:47.132Z,672.5,6.569481420414296
p12,visual,experimental,8,box,box,1,1152,416,1568,2026-04-01T22:07:50.711Z,672.5,7.049254841255837
p12,visual,experimental,9,pen,pen,1,812,575,1386,2026-04-01T22:07:54.116Z,672.5,6.699500340161678
p12,visual,experimental,10,top,top,1,826,353,1179,2026-04-01T22:07:57.309Z,672.5,6.716594773520978
p12,visual,experimental,11,map,map,1,719,450,1169,2026-04-01T22:08:00.486Z,672.5,6.577861357721047
p12,visual,experimental,12,bed,bed,1,749,273,1022,2026-04-01T22:08:03.518Z,672.5,6.618738983517219
p12,visual,experimental,13,log,log,1,839,543,1382,2026-04-01T22:08:06.910Z,672.5,6.732210706467206
p12,visual,experimental,14,fin,fin,1,822,334,1156,2026-04-01T22:08:10.077Z,672.5,6.71174039505618
p12,visual,experimental,15,jam,jam,1,788,368,1156,2026-04-01T22:08:13.243Z,672.5,6.669498089857879
p12,visual,experimental,16,net,net,1,656,266,922,2026-04-01T22:08:16.184Z,672.5,6.486160788944089
p12,visual,experimental,17,pin,pin,1,731,476,1207,2026-04-01T22:08:19.410Z,672.5,6.594413459749778
p12,visual,experimental,18,rug,rug,1,914,349,1263,2026-04-01T22:08:22.683Z,672.5,6.81783057145415
p12,visual,experimental,19,van,van,1,1008,495,1502,2026-04-01T22:08:26.207Z,672.5,6.915723448631314
p12,visual,experimental,20,zip,zip,1,935,414,1350,2026-04-01T22:08:29.569Z,672.5,6.840546529288687
p14,visual,experimental,6,cup,cup,1,776,569,1345,2026-04-02T16:57:45.970Z,571.4,6.654152520183219
p14,visual,experimental,7,red,red,1,768,441,1209,2026-04-02T16:57:49.193Z,571.4,6.643789733147672
p14,visual,experimental,8,box,box,1,770,497,1267,2026-04-02T16:57:52.472Z,571.4,6.646390514847729
p14,visual,experimental,9,pen,pen,1,710,538,1248,2026-04-02T16:57:55.733Z,571.4,6.565264970035361
p14,visual,experimental,10,top,top,1,777,520,1297,2026-04-02T16:57:59.038Z,571.4,6.655440350367647
p14,visual,experimental,11,map,map,1,690,817,1508,2026-04-02T16:58:02.561Z,571.4,6.536691597591305
p14,visual,experimental,12,bed,bed,1,747,461,1209,2026-04-02T16:58:05.786Z,571.4,6.616065185132817
p14,visual,experimental,13,log,log,1,743,488,1230,2026-04-02T16:58:09.027Z,571.4,6.610696044717759
p14,visual,experimental,14,fin,fin,1,922,481,1404,2026-04-02T16:58:12.444Z,571.4,6.826545223556594
p14,visual,experimental,15,jam,jam,1,689,501,1190,2026-04-02T16:58:15.647Z,571.4,6.535241271013659
p14,visual,experimental,16,net,net,1,633,603,1236,2026-04-02T16:58:18.889Z,571.4,6.450470422144176
p14,visual,experimental,17,pin,pin,1,696,657,1353,2026-04-02T16:58:22.251Z,571.4,6.54534966033442
p14,visual,experimental,18,rug,rug,1,806,509,1315,2026-04-02T16:58:25.580Z,571.4,6.692083742506628
p14,visual,experimental,19,van,van,1,755,1211,1966,2026-04-02T16:58:29.559Z,571.4,6.626717749249025
p14,visual,experimental,20,zip,zip,1,871,1773,2644,2026-04-02T16:58:34.215Z,571.4,6.769641976852503
p16,visual,experimental,6,cup,cup,1,694,586,1279,2026-04-02T17:48:03.956Z,488.2,6.542471960506805
p16,visual,experimental,7,red,red,1,773,769,1542,2026-04-02T17:48:07.502Z,488.2,6.650279048587422
p16,visual,experimental,8,box,bpx,0,725,550,1275,2026-04-02T17:48:10.793Z,488.2,6.586171654854675
p16,visual,experimental,9,pen,pen,1,699,660,1358,2026-04-02T17:48:14.155Z,488.2,6.54965074223381
p16,visual,experimental,10,top,top,1,940,1304,2243,2026-04-02T17:48:18.407Z,488.2,6.84587987526405
p16,visual,experimental,11,map,map,1,796,840,1637,2026-04-02T17:48:22.047Z,488.2,6.679599185844383
p16,visual,experimental,12,bed,bed,1,1045,356,1401,2026-04-02T17:48:25.453Z,488.2,6.951772164398911
p16,visual,experimental,13,log,log,1,827,435,1262,2026-04-02T17:48:28.719Z,488.2,6.717804695023691
p16,visual,experimental,14,fin,fin,1,975,361,1336,2026-04-02T17:48:32.058Z,488.2,6.882437470997847
p16,visual,experimental,15,jam,jam,1,815,538,1353,2026-04-02T17:48:35.416Z,488.2,6.703188113240863
p16,visual,experimental,17,pin,pin,1,890,570,1460,2026-04-02T17:48:42.083Z,488.2,6.7912214627261855
p16,visual,experimental,18,rug,rug,1,718,414,1131,2026-04-02T17:48:45.217Z,488.2,6.576469569048224
p16,visual,experimental,19,van,van,1,685,1044,1729,2026-04-02T17:48:48.948Z,488.2,6.529418838262226
p16,visual,experimental,20,zip,zip,1,885,344,1229,2026-04-02T17:48:52.183Z,488.2,6.785587645007929
p18,visual,experimental,6,cup,cup,1,710,444,1154,2026-04-02T18:28:30.706Z,399.7,6.565264970035361
p18,visual,experimental,7,red,red,1,779,384,1163,2026-04-02T18:28:33.878Z,399.7,6.658011045870748
p18,visual,experimental,8,box,box,1,754,519,1273,2026-04-02T18:28:37.166Z,399.7,6.625392368007956
