participantId,condition,phase,trialIndex,targetWord,typedWord,accuracy,reactionTimeMs,typingTimeMs,totalTimeMs,timestamp
p30,auditory,control,1,cat,"cat",1,1461,939,2400,2026-04-04T16:42:47.055Z
p30,auditory,control,2,dog,"dog",1,728,356,1085,2026-04-04T16:42:50.144Z
p30,auditory,control,3,run,"run",1,989,718,1707,2026-04-04T16:42:53.854Z
p30,auditory,control,4,hat,"hat",1,924,315,1239,2026-04-04T16:42:57.097Z
p30,auditory,control,5,sun,"sun",1,1140,369,1509,2026-04-04T16:43:00.610Z
p30,auditory,experimental,6,cup,"cup",1,1205,478,1683,2026-04-04T16:43:04.310Z
p30,auditory,experimental,7,red,"red",1,999,556,1555,2026-04-04T16:43:07.869Z
p30,auditory,experimental,8,box,"box",1,1119,363,1482,2026-04-04T16:43:11.363Z
p30,auditory,experimental,9,pen,"pen",1,1086,416,1502,2026-04-04T16:43:14.881Z
p30,auditory,experimental,10,top,"top",1,956,363,1320,2026-04-04T16:43:18.206Z
p30,auditory,experimental,11,map,"map",1,963,396,1358,2026-04-04T16:43:21.575Z
p30,auditory,experimental,12,bed,"bed",1,960,407,1367,2026-04-04T16:43:24.947Z
p30,auditory,experimental,13,log,"log",1,911,398,1309,2026-04-04T16:43:28.269Z
p30,auditory,experimental,14,fin,"bin",0,1213,433,1646,2026-04-04T16:43:31.919Z
p30,auditory,experimental,15,jam,"jam",1,1069,413,1483,2026-04-04T16:43:35.407Z
p30,auditory,experimental,16,net,"net",1,892,305,1197,2026-04-04T16:43:38.612Z
p30,auditory,experimental,17,pin,"pin",1,1253,3404,4657,2026-04-04T16:43:45.271Z
p30,auditory,experimental,18,rug,"rug",1,991,413,1404,2026-04-04T16:43:48.679Z
p30,auditory,experimental,19,van,"van",1,1434,407,1841,2026-04-04T16:43:52.523Z
p30,auditory,experimental,20,zip,"zip",1,1173,344,1517,2026-04-04T16:43:56.042Z
