participantId,condition,phase,trialIndex,targetWord,typedWord,accuracy,reactionTimeMs,typingTimeMs,totalTimeMs,timestamp
p24,auditory,control,1,cat,"cat",1,1590,274,1865,2026-04-02T22:05:19.381Z
p24,auditory,control,2,dog,"dog",1,994,334,1328,2026-04-02T22:05:22.719Z
p24,auditory,control,3,run,"run",1,1003,326,1329,2026-04-02T22:05:26.054Z
p24,auditory,control,4,hat,"hat",1,1205,268,1472,2026-04-02T22:05:29.546Z
p24,auditory,control,5,sun,"sun",1,1008,349,1356,2026-04-02T22:05:32.912Z
p24,auditory,experimental,6,cup,"cup",1,1800,2690,4490,2026-04-02T22:05:39.421Z
p24,auditory,experimental,7,red,"red",1,1366,1289,2655,2026-04-02T22:05:44.086Z
p24,auditory,experimental,8,box,"box",1,1657,1548,3205,2026-04-02T22:05:49.302Z
p24,auditory,experimental,9,pen,"pin",0,1988,477,2465,2026-04-02T22:05:53.779Z
p24,auditory,experimental,10,top,"top",1,1501,1439,2940,2026-04-02T22:05:58.729Z
p24,auditory,experimental,11,map,"map",1,1166,444,1610,2026-04-02T22:06:02.355Z
p24,auditory,experimental,12,bed,"bed",1,1333,466,1799,2026-04-02T22:06:06.162Z
p24,auditory,experimental,13,log,"log",1,1291,578,1869,2026-04-02T22:06:10.045Z
p24,auditory,experimental,14,fin,"fin",1,1136,574,1710,2026-04-02T22:06:13.763Z
p24,auditory,experimental,15,jam,"jam",1,1215,319,1534,2026-04-02T22:06:17.304Z
p24,auditory,experimental,16,net,"net",1,1594,446,2039,2026-04-02T22:06:21.360Z
p24,auditory,experimental,17,pin,"pin",1,1251,495,1746,2026-04-02T22:06:25.114Z
p24,auditory,experimental,18,rug,"rug",1,1077,388,1465,2026-04-02T22:06:28.602Z
p24,auditory,experimental,19,van,"van",1,2738,518,3256,2026-04-02T22:06:33.867Z
p24,auditory,experimental,20,zip,"zip",1,2282,394,2676,2026-04-02T22:06:38.555Z
