participantId,condition,phase,trialIndex,targetWord,typedWord,accuracy,reactionTimeMs,typingTimeMs,totalTimeMs,timestamp
p24,visual,control,1,cat,"cat",1,1022,390,1412,2026-04-02T21:07:25.138Z
p24,visual,control,2,dog,"dog",1,925,710,1635,2026-04-02T21:07:28.784Z
p24,visual,control,3,run,"run",1,718,342,1060,2026-04-02T21:07:31.860Z
p24,visual,control,4,hat,"hat",1,588,234,822,2026-04-02T21:07:34.695Z
p24,visual,control,5,sun,"sun",1,563,345,908,2026-04-02T21:07:37.615Z
p24,visual,experimental,6,cup,"cup",1,707,343,1050,2026-04-02T21:07:40.674Z
p24,visual,experimental,7,red,"red",1,760,351,1110,2026-04-02T21:07:43.800Z
p24,visual,experimental,8,box,"box",1,842,408,1250,2026-04-02T21:07:47.061Z
p24,visual,experimental,9,pen,"pen",1,624,387,1010,2026-04-02T21:07:50.081Z
p24,visual,experimental,10,top,"top",1,725,326,1051,2026-04-02T21:07:53.140Z
p24,visual,experimental,11,map,"map",1,612,361,972,2026-04-02T21:07:56.121Z
p24,visual,experimental,12,bed,"bed",1,629,274,903,2026-04-02T21:07:59.034Z
p24,visual,experimental,13,log,"log",1,1062,389,1451,2026-04-02T21:08:02.493Z
p24,visual,experimental,14,fin,"fin",1,728,331,1060,2026-04-02T21:08:05.557Z
p24,visual,experimental,15,jam,"jam",1,652,335,987,2026-04-02T21:08:08.550Z
p24,visual,experimental,16,net,"net",1,1208,302,1510,2026-04-02T21:08:12.072Z
p24,visual,experimental,17,pin,"pin",1,2027,596,2623,2026-04-02T21:08:16.702Z
p24,visual,experimental,18,rug,"rug",1,1860,480,2340,2026-04-02T21:08:21.048Z
p24,visual,experimental,19,van,"van",1,724,331,1055,2026-04-02T21:08:24.117Z
p24,visual,experimental,20,zip,"zip",1,1082,499,1581,2026-04-02T21:08:27.710Z
