participantId,condition,phase,trialIndex,targetWord,typedWord,accuracy,reactionTimeMs,typingTimeMs,totalTimeMs,timestamp
p08,visual,control,1,cat,"cat",1,712,431,1143,2026-03-26T17:45:30.027Z
p08,visual,control,2,dog,"dog",1,945,366,1311,2026-03-26T17:45:33.353Z
p08,visual,control,3,run,"run",1,828,1154,1982,2026-03-26T17:45:37.350Z
p08,visual,control,4,hat,"hat",1,677,370,1047,2026-03-26T17:45:40.403Z
p08,visual,control,5,sun,"sun",1,877,370,1248,2026-03-26T17:45:43.664Z
p08,visual,experimental,6,cup,"cuop",0,876,450,1326,2026-03-26T17:45:47.001Z
p08,visual,experimental,7,red,"red",1,672,308,980,2026-03-26T17:45:49.985Z
p08,visual,experimental,8,box,"box",1,815,414,1229,2026-03-26T17:45:53.226Z
p08,visual,experimental,9,pen,"pen",1,794,374,1168,2026-03-26T17:45:56.406Z
p08,visual,experimental,10,top,"top",1,784,352,1136,2026-03-26T17:45:59.551Z
p08,visual,experimental,11,map,"map",1,702,329,1031,2026-03-26T17:46:02.596Z
p08,visual,experimental,12,bed,"bed",1,719,247,966,2026-03-26T17:46:05.568Z
p08,visual,experimental,13,log,"log",1,730,289,1019,2026-03-26T17:46:08.592Z
p08,visual,experimental,14,fin,"fin",1,706,402,1109,2026-03-26T17:46:11.714Z
p08,visual,experimental,15,jam,"jam",1,869,285,1154,2026-03-26T17:46:14.876Z
p08,visual,experimental,16,net,"net",1,886,167,1053,2026-03-26T17:46:17.950Z
p08,visual,experimental,17,pin,"pi",0,653,508,1161,2026-03-26T17:46:21.122Z
p08,visual,experimental,18,rug,"rug",1,802,355,1157,2026-03-26T17:46:24.294Z
p08,visual,experimental,19,van,"van",1,675,420,1095,2026-03-26T17:46:27.398Z
p08,visual,experimental,20,zip,"zip",1,762,453,1215,2026-03-26T17:46:30.636Z
