participantId,condition,phase,trialIndex,targetWord,typedWord,accuracy,reactionTimeMs,typingTimeMs,totalTimeMs,timestamp
p08,auditory,control,1,cat,"bad",0,3056,294,3350,2026-03-26T17:47:06.730Z
p08,auditory,control,2,dog,"dog",1,1205,372,1577,2026-03-26T17:47:10.318Z
p08,auditory,control,3,run,"run",1,1162,348,1510,2026-03-26T17:47:13.843Z
p08,auditory,control,4,hat,"had",0,1073,290,1363,2026-03-26T17:47:17.215Z
p08,auditory,control,5,sun,"sun",1,1077,338,1415,2026-03-26T17:47:20.650Z
p08,auditory,experimental,6,cup,"cup",1,1034,373,1407,2026-03-26T17:47:24.066Z
p08,auditory,experimental,7,red,"red",1,962,275,1237,2026-03-26T17:47:27.314Z
p08,auditory,experimental,8,box,"box",1,1394,368,1763,2026-03-26T17:47:31.088Z
p08,auditory,experimental,9,pen,"ham",0,1378,358,1736,2026-03-26T17:47:34.834Z
p08,auditory,experimental,10,top,"top",1,1185,599,1784,2026-03-26T17:47:38.635Z
p08,auditory,experimental,11,map,"map",1,1060,404,1464,2026-03-26T17:47:42.104Z
p08,auditory,experimental,12,bed,"bed",1,1770,441,2212,2026-03-26T17:47:46.327Z
p08,auditory,experimental,13,log,"log",1,1143,288,1431,2026-03-26T17:47:49.764Z
p08,auditory,experimental,14,fin,"fin",1,1854,435,2289,2026-03-26T17:47:54.070Z
p08,auditory,experimental,15,jam,"jam",1,1122,281,1403,2026-03-26T17:47:57.485Z
p08,auditory,experimental,16,net,"net",1,1064,348,1412,2026-03-26T17:48:00.918Z
p08,auditory,experimental,17,pin,"pin",1,1543,476,2020,2026-03-26T17:48:04.950Z
p08,auditory,experimental,18,rug,"rug",1,1270,276,1546,2026-03-26T17:48:08.502Z
p08,auditory,experimental,19,van,"ben",0,1660,322,1982,2026-03-26T17:48:12.496Z
p08,auditory,experimental,20,zip,"tip",0,2007,2152,4158,2026-03-26T17:48:18.664Z
