participantId,condition,phase,trialIndex,targetWord,typedWord,accuracy,reactionTimeMs,typingTimeMs,totalTimeMs,timestamp
p19,auditory,control,1,cat,"cat",1,2036,749,2785,2026-04-02T18:38:31.886Z
p19,auditory,control,2,dog,"dog",1,1665,450,2115,2026-04-02T18:38:36.007Z
p19,auditory,control,3,run,"run",1,1493,424,1917,2026-04-02T18:38:39.938Z
p19,auditory,control,4,hat,"hat",1,2028,480,2508,2026-04-02T18:38:44.462Z
p19,auditory,control,5,sun,"sun",1,1799,476,2275,2026-04-02T18:38:48.744Z
p19,auditory,experimental,6,cup,"cup",1,2688,391,3079,2026-04-02T18:38:53.836Z
p19,auditory,experimental,7,red,"red",1,1458,443,1901,2026-04-02T18:38:57.746Z
p19,auditory,experimental,8,box,"fox",0,1681,475,2156,2026-04-02T18:39:01.909Z
p19,auditory,experimental,9,pen,"pin",0,1683,485,2168,2026-04-02T18:39:06.087Z
p19,auditory,experimental,10,top,"chop",0,1699,824,2523,2026-04-02T18:39:10.618Z
p19,auditory,experimental,11,map,"map",1,2210,1444,3654,2026-04-02T18:39:16.298Z
p19,auditory,experimental,12,bed,"bed",1,2260,647,2907,2026-04-02T18:39:21.209Z
p19,auditory,experimental,13,log,"log",1,1674,349,2023,2026-04-02T18:39:25.250Z
p19,auditory,experimental,14,fin,"fin",1,1566,429,1995,2026-04-02T18:39:29.255Z
p19,auditory,experimental,15,jam,"jam",1,1433,337,1769,2026-04-02T18:39:33.037Z
p19,auditory,experimental,16,net,"net",1,1760,732,2492,2026-04-02T18:39:37.540Z
p19,auditory,experimental,17,pin,"pin",1,1750,438,2188,2026-04-02T18:39:41.748Z
p19,auditory,experimental,18,rug,"rug",1,1542,372,1913,2026-04-02T18:39:45.672Z
p19,auditory,experimental,19,van,"van",1,2682,373,3054,2026-04-02T18:39:50.741Z
p19,auditory,experimental,20,zip,"zip",1,1937,453,2390,2026-04-02T18:39:55.146Z
