participantId,condition,phase,trialIndex,targetWord,typedWord,accuracy,reactionTimeMs,typingTimeMs,totalTimeMs,timestamp
p03,visual,control,1,cat,"cat",1,1000,474,1475,2026-03-25T15:49:36.501Z
p03,visual,control,2,dog,"dog",1,855,511,1366,2026-03-25T15:49:39.875Z
p03,visual,control,3,run,"run",1,693,493,1185,2026-03-25T15:49:43.069Z
p03,visual,control,4,hat,"hat",1,718,495,1213,2026-03-25T15:49:46.296Z
p03,visual,control,5,sun,"sun",1,809,602,1411,2026-03-25T15:49:49.718Z
p03,visual,experimental,6,cup,"cup",1,801,433,1234,2026-03-25T15:49:52.957Z
p03,visual,experimental,7,red,"red",1,702,408,1110,2026-03-25T15:49:56.076Z
p03,visual,experimental,8,box,"box",1,742,438,1180,2026-03-25T15:49:59.263Z
p03,visual,experimental,9,pen,"pen",1,629,455,1084,2026-03-25T15:50:02.360Z
p03,visual,experimental,10,top,"top",1,767,393,1160,2026-03-25T15:50:05.539Z
p03,visual,experimental,11,map,"map",1,856,505,1361,2026-03-25T15:50:08.912Z
p03,visual,experimental,12,bed,"bed",1,761,416,1177,2026-03-25T15:50:12.103Z
p03,visual,experimental,13,log,"log",1,904,631,1536,2026-03-25T15:50:15.647Z
p03,visual,experimental,14,fin,"fin",1,743,467,1210,2026-03-25T15:50:18.872Z
p03,visual,experimental,15,jam,"jam",1,807,494,1300,2026-03-25T15:50:22.179Z
p03,visual,experimental,16,net,"net",1,624,312,936,2026-03-25T15:50:25.122Z
p03,visual,experimental,17,pin,"pin",1,607,527,1134,2026-03-25T15:50:28.263Z
p03,visual,experimental,18,rug,"rug",1,756,482,1238,2026-03-25T15:50:31.510Z
p03,visual,experimental,19,van,"van",1,916,418,1334,2026-03-25T15:50:34.856Z
p03,visual,experimental,20,zip,"zip",1,764,513,1278,2026-03-25T15:50:38.142Z
