participantId,condition,phase,trialIndex,targetWord,typedWord,accuracy,reactionTimeMs,typingTimeMs,totalTimeMs,timestamp
p16,visual,control,1,cat,"cat",1,1061,713,1774,2026-04-02T17:47:48.304Z
p16,visual,control,2,dog,"dog",1,397,338,735,2026-04-02T17:47:51.047Z
p16,visual,control,3,run,"run",1,602,442,1044,2026-04-02T17:47:54.095Z
p16,visual,control,4,hat,"hat",1,649,348,997,2026-04-02T17:47:57.096Z
p16,visual,control,5,sun,"sun",1,759,796,1556,2026-04-02T17:48:00.664Z
p16,visual,experimental,6,cup,"cup",1,694,586,1279,2026-04-02T17:48:03.956Z
p16,visual,experimental,7,red,"red",1,773,769,1542,2026-04-02T17:48:07.502Z
p16,visual,experimental,8,box,"bpx",0,725,550,1275,2026-04-02T17:48:10.793Z
p16,visual,experimental,9,pen,"pen",1,699,660,1358,2026-04-02T17:48:14.155Z
p16,visual,experimental,10,top,"top",1,940,1304,2243,2026-04-02T17:48:18.407Z
p16,visual,experimental,11,map,"map",1,796,840,1637,2026-04-02T17:48:22.047Z
p16,visual,experimental,12,bed,"bed",1,1045,356,1401,2026-04-02T17:48:25.453Z
p16,visual,experimental,13,log,"log",1,827,435,1262,2026-04-02T17:48:28.719Z
p16,visual,experimental,14,fin,"fin",1,975,361,1336,2026-04-02T17:48:32.058Z
p16,visual,experimental,15,jam,"jam",1,815,538,1353,2026-04-02T17:48:35.416Z
p16,visual,experimental,16,net,"net",1,-479,1681,1202,2026-04-02T17:48:38.620Z
p16,visual,experimental,17,pin,"pin",1,890,570,1460,2026-04-02T17:48:42.083Z
p16,visual,experimental,18,rug,"rug",1,718,414,1131,2026-04-02T17:48:45.217Z
p16,visual,experimental,19,van,"van",1,685,1044,1729,2026-04-02T17:48:48.948Z
p16,visual,experimental,20,zip,"zip",1,885,344,1229,2026-04-02T17:48:52.183Z
