participantId,condition,phase,trialIndex,targetWord,typedWord,accuracy,responseTimeMs,timestamp
p01,auditory,control,1,cat,"cat",1,13293,2026-03-15T22:05:31.554Z
p01,auditory,control,2,dog,"dog",1,3762,2026-03-15T22:05:37.321Z
p01,auditory,control,3,run,"dog",0,81254,2026-03-15T22:07:00.577Z
p01,auditory,control,4,hat,"hat",1,1783,2026-03-15T22:07:04.362Z
p01,auditory,control,5,sun,"sun",1,27941,2026-03-15T22:07:34.305Z
p01,auditory,experimental,6,cup,"cup",1,1213,2026-03-15T22:07:37.520Z
p01,auditory,experimental,7,red,"red",1,948,2026-03-15T22:07:40.473Z
p01,auditory,experimental,8,box,"box",1,1044,2026-03-15T22:07:43.520Z
p01,auditory,experimental,9,pen,"pen",1,1461,2026-03-15T22:07:46.984Z
p01,auditory,experimental,10,top,"top",1,1238,2026-03-15T22:07:50.224Z
p01,auditory,experimental,11,map,"map",1,1030,2026-03-15T22:07:53.256Z
p01,auditory,experimental,12,bed,"man",0,2141,2026-03-15T22:07:57.401Z
p01,auditory,experimental,13,log,"log",1,1125,2026-03-15T22:08:00.528Z
p01,auditory,experimental,14,fin,"fin",1,1952,2026-03-15T22:08:04.497Z
p01,auditory,experimental,15,jam,"jam",1,1948,2026-03-15T22:08:08.449Z
p01,auditory,experimental,16,net,"net",1,4046,2026-03-15T22:08:14.497Z
p01,auditory,experimental,17,pin,"pin",1,1077,2026-03-15T22:08:17.576Z
p01,auditory,experimental,18,rug,"rug",1,1125,2026-03-15T22:08:20.704Z
p01,auditory,experimental,19,van,"van",1,996,2026-03-15T22:08:23.704Z
p01,auditory,experimental,20,zip,"zip",1,1198,2026-03-15T22:08:26.904Z
