participantId,condition,phase,trialIndex,targetWord,typedWord,accuracy,responseTimeMs,timestamp
p01,visual,control,1,cat,"cat",1,2147,2026-03-15T22:03:23.922Z
p01,visual,control,2,dog,"dog",1,1181,2026-03-15T22:03:27.113Z
p01,visual,control,3,run,"run",1,709,2026-03-15T22:03:29.825Z
p01,visual,control,4,hat,"hat",1,1022,2026-03-15T22:03:32.850Z
p01,visual,control,5,sun,"sun",1,836,2026-03-15T22:03:35.689Z
p01,visual,experimental,6,cup,"cup",1,886,2026-03-15T22:03:38.577Z
p01,visual,experimental,7,red,"red",1,895,2026-03-15T22:03:41.482Z
p01,visual,experimental,8,box,"box",1,805,2026-03-15T22:03:44.289Z
p01,visual,experimental,9,pen,"pen",1,773,2026-03-15T22:03:47.065Z
p01,visual,experimental,10,top,"top",1,725,2026-03-15T22:03:49.793Z
p01,visual,experimental,11,map,"map",1,1054,2026-03-15T22:03:52.849Z
p01,visual,experimental,12,bed,"bed",1,764,2026-03-15T22:03:55.617Z
p01,visual,experimental,13,log,"log",1,846,2026-03-15T22:03:58.465Z
p01,visual,experimental,14,fin,"fin",1,704,2026-03-15T22:04:01.170Z
p01,visual,experimental,15,jam,"ja",0,1181,2026-03-15T22:04:04.354Z
p01,visual,experimental,16,net,"net",1,734,2026-03-15T22:04:07.089Z
p01,visual,experimental,17,pin,"pin",1,1106,2026-03-15T22:04:10.201Z
p01,visual,experimental,18,rug,"rug",1,806,2026-03-15T22:04:13.009Z
p01,visual,experimental,19,van,"van",1,767,2026-03-15T22:04:15.777Z
p01,visual,experimental,20,zip,"zip",1,797,2026-03-15T22:04:18.577Z
