participantId,condition,phase,trialIndex,targetWord,typedWord,accuracy,reactionTimeMs,typingTimeMs,totalTimeMs,timestamp
p02,auditory,control,1,cat,"cat",1,16647,510,17156,2026-03-25T02:30:34.816Z
p02,auditory,control,2,dog,"dog",1,1721,833,2554,2026-03-25T02:30:39.376Z
p02,auditory,control,3,run,"rug",0,1318,379,1697,2026-03-25T02:30:43.079Z
p02,auditory,control,4,hat,"hat",1,1353,300,1653,2026-03-25T02:30:46.743Z
p02,auditory,control,5,sun,"sun",1,1205,434,1639,2026-03-25T02:30:50.390Z
p02,auditory,experimental,6,cup,"cup",1,1260,455,1715,2026-03-25T02:30:54.118Z
p02,auditory,experimental,7,red,"red",1,1293,333,1626,2026-03-25T02:30:57.756Z
p02,auditory,experimental,8,box,"box",1,1470,1196,2666,2026-03-25T02:31:02.430Z
p02,auditory,experimental,9,pen,"red",0,1588,3169,4757,2026-03-25T02:31:09.195Z
p02,auditory,experimental,10,top,"top",1,1718,439,2156,2026-03-25T02:31:13.366Z
p02,auditory,experimental,11,map,"nap",0,1938,382,2320,2026-03-25T02:31:17.691Z
p02,auditory,experimental,12,bed,"bed",1,1207,912,2119,2026-03-25T02:31:21.824Z
p02,auditory,experimental,13,log,"log",1,1203,380,1583,2026-03-25T02:31:25.412Z
p02,auditory,experimental,14,fin,"fin",1,1505,311,1816,2026-03-25T02:31:29.238Z
p02,auditory,experimental,15,jam,"jam",1,1311,342,1653,2026-03-25T02:31:32.897Z
p02,auditory,experimental,16,net,"ned",0,1352,418,1770,2026-03-25T02:31:36.674Z
p02,auditory,experimental,17,pin,"him",0,2137,1070,3207,2026-03-25T02:31:41.885Z
p02,auditory,experimental,18,rug,"rug",1,1193,403,1596,2026-03-25T02:31:45.496Z
p02,auditory,experimental,19,van,"bed",0,1336,313,1649,2026-03-25T02:31:49.160Z
p02,auditory,experimental,20,zip,"zip",1,1200,440,1640,2026-03-25T02:31:52.811Z
