participantId,condition,phase,trialIndex,targetWord,typedWord,accuracy,reactionTimeMs,typingTimeMs,totalTimeMs,timestamp
p02,visual,control,1,cat,"cat",1,863,449,1313,2026-03-25T02:10:45.741Z
p02,visual,control,2,dog,"dog",1,622,358,980,2026-03-25T02:10:48.725Z
p02,visual,control,3,run,"run",1,630,396,1026,2026-03-25T02:10:51.769Z
p02,visual,control,4,hat,"hat",1,674,389,1063,2026-03-25T02:10:54.836Z
p02,visual,control,5,sun,"sun",1,630,382,1012,2026-03-25T02:10:57.851Z
p02,visual,experimental,6,cup,"cup",1,655,477,1132,2026-03-25T02:11:00.987Z
p02,visual,experimental,7,red,"red",1,616,301,917,2026-03-25T02:11:03.925Z
p02,visual,experimental,8,box,"box",1,627,1066,1692,2026-03-25T02:11:07.633Z
p02,visual,experimental,9,pen,"pen",1,717,325,1042,2026-03-25T02:11:10.678Z
p02,visual,experimental,10,top,"to",0,595,493,1088,2026-03-25T02:11:13.769Z
p02,visual,experimental,11,map,"map",1,602,375,977,2026-03-25T02:11:16.751Z
p02,visual,experimental,12,bed,"bed",1,621,359,981,2026-03-25T02:11:19.734Z
p02,visual,experimental,13,log,"log",1,614,390,1004,2026-03-25T02:11:22.741Z
p02,visual,experimental,14,fin,"fin",1,602,373,975,2026-03-25T02:11:25.731Z
p02,visual,experimental,15,jam,"jam",1,600,298,897,2026-03-25T02:11:28.631Z
p02,visual,experimental,16,net,"net",1,594,506,1100,2026-03-25T02:11:31.735Z
p02,visual,experimental,17,pin,"pin",1,832,410,1242,2026-03-25T02:11:34.980Z
p02,visual,experimental,18,rug,"rug",1,682,406,1088,2026-03-25T02:11:38.071Z
p02,visual,experimental,19,van,"van",1,600,369,969,2026-03-25T02:11:41.044Z
p02,visual,experimental,20,zip,"zip",1,808,819,1627,2026-03-25T02:11:44.675Z
