participantId,condition,phase,trialIndex,targetWord,typedWord,accuracy,reactionTimeMs,typingTimeMs,totalTimeMs,timestamp
p11,auditory,control,1,cat,"cat",1,1577,1948,3525,2026-03-26T23:43:58.023Z
p11,auditory,control,2,dog,"dog",1,1411,242,1653,2026-03-26T23:44:01.695Z
p11,auditory,control,3,run,"run",1,1070,1428,2497,2026-03-26T23:44:06.200Z
p11,auditory,control,4,hat,"hat",1,1680,869,2548,2026-03-26T23:44:10.761Z
p11,auditory,control,5,sun,"sun",1,1427,3912,5338,2026-03-26T23:44:18.112Z
p11,auditory,experimental,6,cup,"cup",1,1368,384,1752,2026-03-26T23:44:21.877Z
p11,auditory,experimental,7,red,"red",1,2026,284,2310,2026-03-26T23:44:26.199Z
p11,auditory,experimental,8,box,"box",1,1481,406,1887,2026-03-26T23:44:30.099Z
p11,auditory,experimental,9,pen,"pen",1,1562,340,1902,2026-03-26T23:44:34.008Z
p11,auditory,experimental,10,top,"top",1,1060,566,1626,2026-03-26T23:44:37.645Z
p11,auditory,experimental,11,map,"map",1,1782,1878,3659,2026-03-26T23:44:43.320Z
p11,auditory,experimental,12,bed,"bed",1,1459,251,1709,2026-03-26T23:44:47.040Z
p11,auditory,experimental,13,log,"lg",0,1308,318,1626,2026-03-26T23:44:50.681Z
p11,auditory,experimental,14,fin,"fin",1,1748,590,2337,2026-03-26T23:44:55.028Z
p11,auditory,experimental,15,jam,"jam",1,2239,508,2748,2026-03-26T23:44:59.790Z
p11,auditory,experimental,16,net,"net",1,1151,987,2137,2026-03-26T23:45:03.943Z
p11,auditory,experimental,17,pin,"pin",1,1607,594,2201,2026-03-26T23:45:08.150Z
p11,auditory,experimental,18,rug,"rug",1,1260,1157,2417,2026-03-26T23:45:12.577Z
p11,auditory,experimental,19,van,"van",1,1642,261,1903,2026-03-26T23:45:16.503Z
p11,auditory,experimental,20,zip,"zip",1,1549,1741,3291,2026-03-26T23:45:21.801Z
