participantId,condition,phase,trialIndex,targetWord,typedWord,accuracy,reactionTimeMs,typingTimeMs,totalTimeMs,timestamp
p27,visual,control,1,cat,"cat",1,974,393,1367,2026-04-03T04:36:24.346Z
p27,visual,control,2,dog,"dog",1,561,850,1411,2026-04-03T04:36:27.769Z
p27,visual,control,3,run,"run",1,751,377,1128,2026-04-03T04:36:30.911Z
p27,visual,control,4,hat,"hat",1,614,355,969,2026-04-03T04:36:33.894Z
p27,visual,control,5,sun,"sun",1,586,417,1003,2026-04-03T04:36:36.910Z
p27,visual,experimental,6,cup,"cup",1,594,512,1106,2026-04-03T04:36:40.031Z
p27,visual,experimental,7,red,"red",1,585,390,975,2026-04-03T04:36:43.015Z
p27,visual,experimental,8,box,"box",1,630,511,1141,2026-04-03T04:36:46.163Z
p27,visual,experimental,9,pen,"pen",1,611,356,967,2026-04-03T04:36:49.140Z
p27,visual,experimental,10,top,"top",1,560,458,1017,2026-04-03T04:36:52.174Z
p27,visual,experimental,11,map,"map",1,598,419,1018,2026-04-03T04:36:55.200Z
p27,visual,experimental,12,bed,"bed",1,856,432,1288,2026-04-03T04:36:58.500Z
p27,visual,experimental,13,log,"log",1,556,446,1002,2026-04-03T04:37:01.508Z
p27,visual,experimental,14,fin,"fin",1,646,336,982,2026-04-03T04:37:04.502Z
p27,visual,experimental,15,jam,"jam",1,571,560,1131,2026-04-03T04:37:07.645Z
p27,visual,experimental,16,net,"net",1,579,311,889,2026-04-03T04:37:10.545Z
p27,visual,experimental,17,pin,"pin",1,561,672,1233,2026-04-03T04:37:13.789Z
p27,visual,experimental,18,rug,"rug",1,583,415,997,2026-04-03T04:37:16.795Z
p27,visual,experimental,19,van,"van",1,623,386,1010,2026-04-03T04:37:19.815Z
p27,visual,experimental,20,zip,"zip",1,683,422,1104,2026-04-03T04:37:22.934Z
