participantId,condition,phase,trialIndex,targetWord,typedWord,accuracy,reactionTimeMs,typingTimeMs,totalTimeMs,timestamp
p26,auditory,control,1,cat,"cat",1,1216,439,1655,2026-04-02T21:56:28.604Z
p26,auditory,control,2,dog,"dog",1,1007,412,1420,2026-04-02T21:56:32.040Z
p26,auditory,control,3,run,"run",1,1153,320,1473,2026-04-02T21:56:35.523Z
p26,auditory,control,4,hat,"hat",1,1636,330,1965,2026-04-02T21:56:39.497Z
p26,auditory,control,5,sun,"sun",1,932,286,1217,2026-04-02T21:56:42.724Z
p26,auditory,experimental,6,cup,"come",0,1066,335,1401,2026-04-02T21:56:46.132Z
p26,auditory,experimental,7,red,"red",1,1472,353,1825,2026-04-02T21:56:49.964Z
p26,auditory,experimental,8,box,"box",1,1181,3558,4739,2026-04-02T21:56:56.721Z
p26,auditory,experimental,9,pen,"pen",1,1159,339,1498,2026-04-02T21:57:00.228Z
p26,auditory,experimental,10,top,"top",1,1364,454,1818,2026-04-02T21:57:04.057Z
p26,auditory,experimental,11,map,"map",1,1104,1173,2277,2026-04-02T21:57:08.346Z
p26,auditory,experimental,12,bed,"bed",1,1225,1160,2385,2026-04-02T21:57:12.749Z
p26,auditory,experimental,13,log,"log",1,1273,846,2120,2026-04-02T21:57:16.877Z
p26,auditory,experimental,14,fin,"fin",1,2390,288,2678,2026-04-02T21:57:21.566Z
p26,auditory,experimental,15,jam,"jam",1,1226,603,1829,2026-04-02T21:57:25.417Z
p26,auditory,experimental,16,net,"net",1,974,519,1493,2026-04-02T21:57:28.921Z
p26,auditory,experimental,17,pin,"pin",1,924,484,1408,2026-04-02T21:57:32.334Z
p26,auditory,experimental,18,rug,"rug",1,1092,410,1502,2026-04-02T21:57:35.847Z
p26,auditory,experimental,19,van,"van",1,2900,1660,4560,2026-04-02T21:57:42.414Z
p26,auditory,experimental,20,zip,"zip",1,1488,677,2165,2026-04-02T21:57:46.602Z
