participantId,condition,phase,trialIndex,targetWord,typedWord,accuracy,reactionTimeMs,typingTimeMs,totalTimeMs,timestamp
p22,auditory,control,1,cat,"cat",1,1039,411,1450,2026-04-02T20:54:55.669Z
p22,auditory,control,2,dog,"dog",1,999,292,1292,2026-04-02T20:54:58.971Z
p22,auditory,control,3,run,"run",1,2071,469,2540,2026-04-02T20:55:03.518Z
p22,auditory,control,4,hat,"cat",0,1677,323,1999,2026-04-02T20:55:07.522Z
p22,auditory,control,5,sun,"sun",1,1091,1674,2765,2026-04-02T20:55:12.301Z
p22,auditory,experimental,6,cup,"cup",1,2325,817,3142,2026-04-02T20:55:17.451Z
p22,auditory,experimental,7,red,"run",0,3306,437,3743,2026-04-02T20:55:23.204Z
p22,auditory,experimental,8,box,"box",1,1545,323,1868,2026-04-02T20:55:27.079Z
p22,auditory,experimental,9,pen,"pen",1,1742,369,2110,2026-04-02T20:55:31.204Z
p22,auditory,experimental,10,top,"top",1,1159,399,1558,2026-04-02T20:55:34.776Z
p22,auditory,experimental,11,map,"mat",0,2684,645,3329,2026-04-02T20:55:40.123Z
p22,auditory,experimental,12,bed,"bed",1,2965,347,3312,2026-04-02T20:55:45.445Z
p22,auditory,experimental,13,log,"log",1,1900,363,2263,2026-04-02T20:55:49.719Z
p22,auditory,experimental,14,fin,"fin",1,1798,322,2120,2026-04-02T20:55:53.853Z
p22,auditory,experimental,15,jam,"ja,",0,1015,315,1331,2026-04-02T20:55:57.197Z
p22,auditory,experimental,16,net,"net",1,1906,1125,3031,2026-04-02T20:56:02.239Z
p22,auditory,experimental,17,pin,"pin",1,1511,372,1883,2026-04-02T20:56:06.132Z
p22,auditory,experimental,18,rug,"rug",1,1192,416,1608,2026-04-02T20:56:09.760Z
p22,auditory,experimental,19,van,"van",1,2905,507,3412,2026-04-02T20:56:15.185Z
p22,auditory,experimental,20,zip,"zip",1,1887,493,2380,2026-04-02T20:56:19.580Z
