participantId,condition,phase,trialIndex,targetWord,typedWord,accuracy,reactionTimeMs,typingTimeMs,totalTimeMs,timestamp
p18,visual,control,1,cat,"cat",1,819,492,1312,2026-04-02T18:28:14.833Z
p18,visual,control,2,dog,"dog",1,918,365,1283,2026-04-02T18:28:18.127Z
p18,visual,control,3,run,"run",1,784,421,1205,2026-04-02T18:28:21.349Z
p18,visual,control,4,hat,"hat",1,693,418,1110,2026-04-02T18:28:24.480Z
p18,visual,control,5,sun,"sun",1,670,373,1044,2026-04-02T18:28:27.536Z
p18,visual,experimental,6,cup,"cup",1,710,444,1154,2026-04-02T18:28:30.706Z
p18,visual,experimental,7,red,"red",1,779,384,1163,2026-04-02T18:28:33.878Z
p18,visual,experimental,8,box,"box",1,754,519,1273,2026-04-02T18:28:37.166Z
p18,visual,experimental,9,pen,"pen",1,698,432,1129,2026-04-02T18:28:40.305Z
p18,visual,experimental,10,top,"top",1,803,814,1617,2026-04-02T18:28:43.934Z
p18,visual,experimental,11,map,"map",1,682,405,1086,2026-04-02T18:28:47.028Z
p18,visual,experimental,12,bed,"bed",1,738,405,1142,2026-04-02T18:28:50.193Z
p18,visual,experimental,13,log,"log",1,669,405,1074,2026-04-02T18:28:53.291Z
p18,visual,experimental,14,fin,"fin",1,754,351,1105,2026-04-02T18:28:56.413Z
p18,visual,experimental,15,jam,"jam",1,662,375,1037,2026-04-02T18:28:59.458Z
p18,visual,experimental,16,net,"net",1,704,365,1068,2026-04-02T18:29:02.543Z
p18,visual,experimental,17,pin,"pin",1,684,426,1110,2026-04-02T18:29:05.671Z
p18,visual,experimental,18,rug,"rug",1,708,782,1489,2026-04-02T18:29:09.174Z
p18,visual,experimental,19,van,"van",1,798,348,1147,2026-04-02T18:29:12.325Z
p18,visual,experimental,20,zip,"zip",1,1350,497,1847,2026-04-02T18:29:16.183Z
