participantId,condition,phase,trialIndex,targetWord,typedWord,accuracy,reactionTimeMs,typingTimeMs,totalTimeMs,timestamp
p18,auditory,control,1,cat,"cat",1,1150,517,1667,2026-04-02T18:30:20.919Z
p18,auditory,control,2,dog,"dog",1,1290,371,1661,2026-04-02T18:30:24.591Z
p18,auditory,control,3,run,"run",1,941,340,1281,2026-04-02T18:30:27.883Z
p18,auditory,control,4,hat,"hat",1,922,359,1280,2026-04-02T18:30:31.174Z
p18,auditory,control,5,sun,"sun",1,946,341,1288,2026-04-02T18:30:34.473Z
p18,auditory,experimental,6,cup,"cup",1,1215,741,1956,2026-04-02T18:30:38.433Z
p18,auditory,experimental,7,red,"red",1,961,389,1350,2026-04-02T18:30:41.793Z
p18,auditory,experimental,8,box,"box",1,1115,436,1552,2026-04-02T18:30:45.353Z
p18,auditory,experimental,9,pen,"pen",1,948,329,1277,2026-04-02T18:30:48.644Z
p18,auditory,experimental,10,top,"top",1,1182,1381,2563,2026-04-02T18:30:53.222Z
p18,auditory,experimental,11,map,"map",1,1741,682,2423,2026-04-02T18:30:57.656Z
p18,auditory,experimental,12,bed,"bed",1,1026,384,1409,2026-04-02T18:31:01.076Z
p18,auditory,experimental,13,log,"log",1,998,473,1471,2026-04-02T18:31:04.553Z
p18,auditory,experimental,14,fin,"fin",1,1255,2001,3256,2026-04-02T18:31:09.822Z
p18,auditory,experimental,15,jam,"jam",1,1457,411,1867,2026-04-02T18:31:13.709Z
p18,auditory,experimental,16,net,"net",1,1326,366,1692,2026-04-02T18:31:17.407Z
p18,auditory,experimental,17,pin,"pin",1,979,443,1422,2026-04-02T18:31:20.837Z
p18,auditory,experimental,18,rug,"rug",1,1051,383,1433,2026-04-02T18:31:24.281Z
p18,auditory,experimental,19,van,"van",1,1180,338,1519,2026-04-02T18:31:27.807Z
p18,auditory,experimental,20,zip,"zip",1,1368,515,1882,2026-04-02T18:31:31.697Z
