participantId,condition,phase,trialIndex,targetWord,typedWord,accuracy,reactionTimeMs,typingTimeMs,totalTimeMs,timestamp
p28,visual,control,1,cat,"cat",1,738,2107,2845,2026-04-03T23:58:16.489Z
p28,visual,control,2,dog,"dog'",0,679,1271,1951,2026-04-03T23:58:20.443Z
p28,visual,control,3,run,"run",1,656,568,1225,2026-04-03T23:58:23.672Z
p28,visual,control,4,hat,"hat",1,659,323,982,2026-04-03T23:58:26.658Z
p28,visual,control,5,sun,"sun",1,535,479,1014,2026-04-03T23:58:29.674Z
p28,visual,experimental,6,cup,"cup",1,686,708,1394,2026-04-03T23:58:33.082Z
p28,visual,experimental,7,red,"red",1,546,410,956,2026-04-03T23:58:36.042Z
p28,visual,experimental,8,box,"box",1,615,375,990,2026-04-03T23:58:39.034Z
p28,visual,experimental,9,pen,"pen",1,756,385,1141,2026-04-03T23:58:42.177Z
p28,visual,experimental,10,top,"top",1,753,389,1143,2026-04-03T23:58:45.322Z
p28,visual,experimental,11,map,"map",1,634,418,1052,2026-04-03T23:58:48.375Z
p28,visual,experimental,12,bed,"bed",1,606,803,1409,2026-04-03T23:58:51.788Z
p28,visual,experimental,13,log,"log",1,726,386,1112,2026-04-03T23:58:54.904Z
p28,visual,experimental,14,fin,"fin",1,876,490,1366,2026-04-03T23:58:58.274Z
p28,visual,experimental,15,jam,"jam",1,746,399,1146,2026-04-03T23:59:01.423Z
p28,visual,experimental,16,net,"net",1,624,354,978,2026-04-03T23:59:04.404Z
p28,visual,experimental,17,pin,"pin",1,782,421,1203,2026-04-03T23:59:07.610Z
p28,visual,experimental,18,rug,"rug",1,590,435,1025,2026-04-03T23:59:10.637Z
p28,visual,experimental,19,van,"van",1,595,421,1016,2026-04-03T23:59:13.657Z
p28,visual,experimental,20,zip,"zip",1,705,440,1146,2026-04-03T23:59:16.812Z
