participantId,condition,phase,trialIndex,targetWord,typedWord,accuracy,reactionTimeMs,typingTimeMs,totalTimeMs,timestamp
p28,auditory,control,1,cat,"cat",1,1320,356,1676,2026-04-04T00:02:01.459Z
p28,auditory,control,2,dog,"dog",1,740,333,1072,2026-04-04T00:02:04.533Z
p28,auditory,control,3,run,"run",1,825,474,1300,2026-04-04T00:02:07.836Z
p28,auditory,control,4,hat,"hat",1,935,296,1231,2026-04-04T00:02:11.070Z
p28,auditory,control,5,sun,"sun",1,895,390,1285,2026-04-04T00:02:14.358Z
p28,auditory,experimental,6,cup,"cup",1,1076,879,1955,2026-04-04T00:02:18.322Z
p28,auditory,experimental,7,red,"red",1,861,444,1305,2026-04-04T00:02:21.630Z
p28,auditory,experimental,8,box,"box",1,1126,392,1518,2026-04-04T00:02:25.150Z
p28,auditory,experimental,9,pen,"pen",1,1007,1706,2712,2026-04-04T00:02:29.865Z
p28,auditory,experimental,10,top,"top",1,1092,607,1698,2026-04-04T00:02:33.564Z
p28,auditory,experimental,11,map,"map",1,936,427,1362,2026-04-04T00:02:36.932Z
p28,auditory,experimental,12,bed,"bed",1,1570,2137,3707,2026-04-04T00:02:42.642Z
p28,auditory,experimental,13,log,"log",1,1187,641,1829,2026-04-04T00:02:46.473Z
p28,auditory,experimental,14,fin,"fin",1,1096,1612,2707,2026-04-04T00:02:51.182Z
p28,auditory,experimental,15,jam,"jam",1,1228,352,1580,2026-04-04T00:02:54.765Z
p28,auditory,experimental,16,net,"net",1,1171,311,1482,2026-04-04T00:02:58.257Z
p28,auditory,experimental,17,pin,"pin",1,3310,535,3845,2026-04-04T00:03:04.115Z
p28,auditory,experimental,18,rug,"rug",1,1279,369,1649,2026-04-04T00:03:07.767Z
p28,auditory,experimental,19,van,"van",1,1351,504,1855,2026-04-04T00:03:11.625Z
p28,auditory,experimental,20,zip,"zip",1,1139,514,1654,2026-04-04T00:03:15.281Z
