participantId,condition,phase,trialIndex,targetWord,typedWord,accuracy,reactionTimeMs,typingTimeMs,totalTimeMs,timestamp
p20,visual,control,1,cat,"cat",1,971,392,1362,2026-04-02T19:41:28.214Z
p20,visual,control,2,dog,"dog",1,753,311,1064,2026-04-02T19:41:31.296Z
p20,visual,control,3,run,"run",1,641,277,918,2026-04-02T19:41:34.227Z
p20,visual,control,4,hat,"hat",1,731,310,1041,2026-04-02T19:41:37.276Z
p20,visual,control,5,sun,"sun",1,626,272,899,2026-04-02T19:41:40.191Z
p20,visual,experimental,6,cup,"cup",1,695,249,944,2026-04-02T19:41:43.147Z
p20,visual,experimental,7,red,"red",1,664,267,931,2026-04-02T19:41:46.093Z
p20,visual,experimental,8,box,"box",1,847,310,1157,2026-04-02T19:41:49.258Z
p20,visual,experimental,9,pen,"pen",1,663,358,1021,2026-04-02T19:41:52.289Z
p20,visual,experimental,10,top,"top",1,641,236,877,2026-04-02T19:41:55.177Z
p20,visual,experimental,11,map,"map",1,725,280,1005,2026-04-02T19:41:58.189Z
p20,visual,experimental,12,bed,"bed",1,723,315,1038,2026-04-02T19:42:01.233Z
p20,visual,experimental,13,log,"log",1,717,318,1035,2026-04-02T19:42:04.277Z
p20,visual,experimental,14,fin,"fin",1,728,427,1155,2026-04-02T19:42:07.446Z
p20,visual,experimental,15,jam,"jam",1,762,326,1088,2026-04-02T19:42:10.545Z
p20,visual,experimental,16,net,"net",1,602,223,825,2026-04-02T19:42:13.383Z
p20,visual,experimental,17,pin,"pin",1,667,326,992,2026-04-02T19:42:16.390Z
p20,visual,experimental,18,rug,"rug",1,583,393,975,2026-04-02T19:42:19.387Z
p20,visual,experimental,19,van,"van",1,764,283,1047,2026-04-02T19:42:22.446Z
p20,visual,experimental,20,zip,"zip",1,744,248,992,2026-04-02T19:42:25.450Z
