participantId,condition,phase,trialIndex,targetWord,typedWord,accuracy,reactionTimeMs,typingTimeMs,totalTimeMs,timestamp
p14,auditory,control,1,cat,"cat",1,7072,591,7663,2026-04-02T16:59:07.820Z
p14,auditory,control,2,dog,"dog",1,1444,1246,2689,2026-04-02T16:59:12.517Z
p14,auditory,control,3,run,"run",1,1179,513,1692,2026-04-02T16:59:16.212Z
p14,auditory,control,4,hat,"hat",1,1423,324,1746,2026-04-02T16:59:19.968Z
p14,auditory,control,5,sun,"sun",1,1141,489,1630,2026-04-02T16:59:23.608Z
p14,auditory,experimental,6,cup,"cup",1,967,743,1711,2026-04-02T16:59:27.330Z
p14,auditory,experimental,7,red,"red",1,1060,529,1589,2026-04-02T16:59:30.924Z
p14,auditory,experimental,8,box,"fox",0,1871,797,2668,2026-04-02T16:59:35.600Z
p14,auditory,experimental,9,pen,"ham",0,1908,563,2471,2026-04-02T16:59:40.081Z
p14,auditory,experimental,10,top,"tongue",0,1768,1586,3354,2026-04-02T16:59:45.457Z
p14,auditory,experimental,11,map,"map",1,1905,678,2583,2026-04-02T16:59:50.059Z
p14,auditory,experimental,12,bed,"bed",1,2168,404,2572,2026-04-02T16:59:54.649Z
p14,auditory,experimental,13,log,"log",1,1424,491,1916,2026-04-02T16:59:58.582Z
p14,auditory,experimental,14,fin,"fin",1,1078,523,1602,2026-04-02T17:00:02.191Z
p14,auditory,experimental,15,jam,"jam",1,775,504,1279,2026-04-02T17:00:05.476Z
p14,auditory,experimental,16,net,"net",1,1121,457,1578,2026-04-02T17:00:09.067Z
p14,auditory,experimental,17,pin,"pin",1,1592,663,2254,2026-04-02T17:00:13.327Z
p14,auditory,experimental,18,rug,"rug",1,1221,516,1737,2026-04-02T17:00:17.069Z
p14,auditory,experimental,19,van,"van",1,1112,2056,3167,2026-04-02T17:00:22.248Z
p14,auditory,experimental,20,zip,"zip",1,1971,643,2615,2026-04-02T17:00:26.881Z
