participantId,condition,phase,trialIndex,targetWord,typedWord,accuracy,reactionTimeMs,typingTimeMs,totalTimeMs,timestamp
p13,auditory,control,1,cat,"cat\",0,1393,698,2091,2026-04-01T22:18:02.724Z
p13,auditory,control,2,dog,"dog",1,2148,359,2506,2026-04-01T22:18:07.239Z
p13,auditory,control,3,run,"run",1,1274,526,1800,2026-04-01T22:18:11.050Z
p13,auditory,control,4,hat,"head",0,1070,461,1530,2026-04-01T22:18:14.586Z
p13,auditory,control,5,sun,"sun",1,1175,377,1552,2026-04-01T22:18:18.152Z
p13,auditory,experimental,6,cup,"come",0,1390,421,1811,2026-04-01T22:18:21.985Z
p13,auditory,experimental,7,red,"red",1,1795,978,2773,2026-04-01T22:18:26.764Z
p13,auditory,experimental,8,box,"box",1,1682,328,2011,2026-04-01T22:18:30.785Z
p13,auditory,experimental,9,pen,"pin",0,1019,434,1453,2026-04-01T22:18:34.242Z
p13,auditory,experimental,10,top,"tone",0,1443,1669,3112,2026-04-01T22:18:39.368Z
p13,auditory,experimental,11,map,"map",1,1270,383,1653,2026-04-01T22:18:43.043Z
p13,auditory,experimental,12,bed,"bin",0,1119,385,1504,2026-04-01T22:18:46.560Z
p13,auditory,experimental,13,log,"log",1,1128,344,1472,2026-04-01T22:18:50.045Z
p13,auditory,experimental,14,fin,"vipe",0,2373,1106,3478,2026-04-01T22:18:55.541Z
p13,auditory,experimental,15,jam,"jam",1,1286,337,1624,2026-04-01T22:18:59.179Z
p13,auditory,experimental,16,net,"neck",0,1464,483,1947,2026-04-01T22:19:03.136Z
p13,auditory,experimental,17,pin,"pin",1,986,463,1449,2026-04-01T22:19:06.596Z
p13,auditory,experimental,18,rug,"rug",1,1029,405,1434,2026-04-01T22:19:10.044Z
p13,auditory,experimental,19,van,"bag",0,1488,366,1854,2026-04-01T22:19:13.917Z
p13,auditory,experimental,20,zip,"swim",0,1351,542,1892,2026-04-01T22:19:17.821Z
