participantId,condition,phase,trialIndex,targetWord,typedWord,accuracy,reactionTimeMs,typingTimeMs,totalTimeMs,timestamp
p10,auditory,control,1,cat,"cat",1,1435,913,2348,2026-03-26T23:31:16.996Z
p10,auditory,control,2,dog,"dog",1,863,328,1192,2026-03-26T23:31:20.204Z
p10,auditory,control,3,run,"rug",0,1719,257,1976,2026-03-26T23:31:24.195Z
p10,auditory,control,4,hat,"hat",1,1215,312,1527,2026-03-26T23:31:27.737Z
p10,auditory,control,5,sun,"sun",1,1183,406,1590,2026-03-26T23:31:31.334Z
p10,auditory,experimental,6,cup,"cup",1,1081,413,1493,2026-03-26T23:31:34.837Z
p10,auditory,experimental,7,red,"red",1,1161,365,1526,2026-03-26T23:31:38.375Z
p10,auditory,experimental,8,box,"box",1,1424,355,1779,2026-03-26T23:31:42.164Z
p10,auditory,experimental,9,pen,"pen",1,2368,336,2705,2026-03-26T23:31:46.883Z
p10,auditory,experimental,10,top,"tub",0,1443,384,1828,2026-03-26T23:31:50.722Z
p10,auditory,experimental,11,map,"map",1,3845,654,4500,2026-03-26T23:31:57.235Z
p10,auditory,experimental,12,bed,"bed",1,2589,296,2885,2026-03-26T23:32:02.135Z
p10,auditory,experimental,13,log,"log",1,1666,324,1990,2026-03-26T23:32:06.140Z
p10,auditory,experimental,14,fin,"fin",1,1701,312,2012,2026-03-26T23:32:10.170Z
p10,auditory,experimental,15,jam,"jam",1,1306,293,1599,2026-03-26T23:32:13.783Z
p10,auditory,experimental,16,net,"net",1,1047,366,1413,2026-03-26T23:32:17.213Z
p10,auditory,experimental,17,pin,"pin",1,1026,435,1461,2026-03-26T23:32:20.684Z
p10,auditory,experimental,18,rug,"rug",1,1046,305,1351,2026-03-26T23:32:24.041Z
p10,auditory,experimental,19,van,"wan",0,1817,351,2168,2026-03-26T23:32:28.217Z
p10,auditory,experimental,20,zip,"sip",0,2029,322,2351,2026-03-26T23:32:32.574Z
